react-dom_client.js?v=bca24845:14337 Download the React DevTools for a better development experience: https://react.dev/link/react-devtools
MessageBubble.tsx:27 [CHAT] Imagem carregada para msg: user_1779683871875_l942ahg7k
App.tsx:13 [HADES RENDERER] Window mounted: chat
App.tsx:17 [HADES RENDERER] Location: http://localhost:3000/?window=chat
App.tsx:18 [HADES RENDERER] Document visibilityState: visible
App.tsx:13 [HADES RENDERER] Window mounted: chat
App.tsx:17 [HADES RENDERER] Location: http://localhost:3000/?window=chat
App.tsx:18 [HADES RENDERER] Document visibilityState: visible
useWindowControl.ts:56 [RESIZE_START] Started resizing at 37258.60ms. Initial size: 480x490
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 91 | Latency: 16.10ms | New Size: 743x600 | EventX/Y: 1708/709
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 92 | Latency: 18.30ms | New Size: 736x612 | EventX/Y: 1701/721
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 93 | Latency: 18.20ms | New Size: 728x623 | EventX/Y: 1693/732
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 94 | Latency: 16.20ms | New Size: 721x631 | EventX/Y: 1686/740
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 95 | Latency: 16.30ms | New Size: 712x640 | EventX/Y: 1677/749
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 96 | Latency: 16.50ms | New Size: 705x649 | EventX/Y: 1670/758
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 97 | Latency: 16.10ms | New Size: 697x660 | EventX/Y: 1662/769
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 98 | Latency: 16.30ms | New Size: 686x670 | EventX/Y: 1651/779
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 99 | Latency: 19.80ms | New Size: 673x681 | EventX/Y: 1638/790
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 100 | Latency: 16.20ms | New Size: 658x691 | EventX/Y: 1623/800
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 101 | Latency: 23.30ms | New Size: 644x700 | EventX/Y: 1609/809
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 102 | Latency: 16.50ms | New Size: 628x707 | EventX/Y: 1593/816
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 103 | Latency: 18.00ms | New Size: 619x711 | EventX/Y: 1584/820
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 104 | Latency: 16.70ms | New Size: 608x712 | EventX/Y: 1573/821
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 105 | Latency: 19.50ms | New Size: 594x712 | EventX/Y: 1559/821
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 106 | Latency: 16.60ms | New Size: 576x712 | EventX/Y: 1541/821
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 107 | Latency: 17.40ms | New Size: 555x710 | EventX/Y: 1520/819
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 108 | Latency: 16.40ms | New Size: 538x707 | EventX/Y: 1503/816
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 109 | Latency: 17.40ms | New Size: 514x703 | EventX/Y: 1479/812
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 110 | Latency: 16.00ms | New Size: 493x700 | EventX/Y: 1458/809
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 111 | Latency: 16.20ms | New Size: 472x694 | EventX/Y: 1437/803
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 112 | Latency: 18.20ms | New Size: 451x688 | EventX/Y: 1416/797
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 113 | Latency: 17.80ms | New Size: 429x680 | EventX/Y: 1394/789
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 114 | Latency: 16.80ms | New Size: 418x673 | EventX/Y: 1383/782
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 115 | Latency: 16.90ms | New Size: 413x668 | EventX/Y: 1378/777
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 116 | Latency: 17.50ms | New Size: 412x663 | EventX/Y: 1377/772
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 117 | Latency: 18.70ms | New Size: 412x656 | EventX/Y: 1377/765
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 118 | Latency: 17.90ms | New Size: 418x641 | EventX/Y: 1383/750
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 119 | Latency: 16.60ms | New Size: 427x626 | EventX/Y: 1392/735
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 120 | Latency: 16.20ms | New Size: 439x610 | EventX/Y: 1404/719
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 121 | Latency: 17.30ms | New Size: 454x593 | EventX/Y: 1419/702
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 122 | Latency: 17.70ms | New Size: 469x576 | EventX/Y: 1434/685
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 123 | Latency: 18.10ms | New Size: 485x562 | EventX/Y: 1450/671
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 124 | Latency: 16.00ms | New Size: 511x542 | EventX/Y: 1476/651
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 125 | Latency: 17.10ms | New Size: 539x524 | EventX/Y: 1504/633
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 126 | Latency: 17.30ms | New Size: 572x505 | EventX/Y: 1537/614
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 127 | Latency: 16.00ms | New Size: 606x488 | EventX/Y: 1571/597
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 128 | Latency: 16.20ms | New Size: 631x478 | EventX/Y: 1596/587
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 129 | Latency: 17.20ms | New Size: 664x473 | EventX/Y: 1629/582
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 130 | Latency: 16.90ms | New Size: 695x471 | EventX/Y: 1660/580
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 131 | Latency: 17.30ms | New Size: 720x471 | EventX/Y: 1685/580
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 132 | Latency: 19.20ms | New Size: 740x472 | EventX/Y: 1705/581
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 133 | Latency: 17.40ms | New Size: 756x480 | EventX/Y: 1721/589
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 134 | Latency: 17.40ms | New Size: 767x493 | EventX/Y: 1732/602
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 135 | Latency: 17.40ms | New Size: 773x510 | EventX/Y: 1738/619
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 136 | Latency: 16.50ms | New Size: 776x536 | EventX/Y: 1741/645
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 137 | Latency: 16.50ms | New Size: 776x558 | EventX/Y: 1741/667
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 138 | Latency: 17.70ms | New Size: 776x579 | EventX/Y: 1741/688
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 139 | Latency: 17.30ms | New Size: 775x596 | EventX/Y: 1740/705
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 140 | Latency: 16.70ms | New Size: 768x615 | EventX/Y: 1733/724
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 141 | Latency: 17.60ms | New Size: 757x631 | EventX/Y: 1722/740
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 142 | Latency: 17.00ms | New Size: 742x649 | EventX/Y: 1707/758
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 143 | Latency: 17.30ms | New Size: 724x660 | EventX/Y: 1689/769
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 144 | Latency: 20.50ms | New Size: 702x667 | EventX/Y: 1667/776
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 145 | Latency: 17.50ms | New Size: 668x669 | EventX/Y: 1633/778
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 146 | Latency: 16.20ms | New Size: 641x669 | EventX/Y: 1606/778
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 147 | Latency: 19.70ms | New Size: 622x662 | EventX/Y: 1587/771
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 148 | Latency: 17.00ms | New Size: 604x648 | EventX/Y: 1569/757
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 149 | Latency: 18.40ms | New Size: 590x628 | EventX/Y: 1555/737
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 150 | Latency: 17.00ms | New Size: 579x600 | EventX/Y: 1544/709
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 151 | Latency: 17.60ms | New Size: 574x574 | EventX/Y: 1539/683
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 152 | Latency: 17.50ms | New Size: 573x553 | EventX/Y: 1538/662
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 153 | Latency: 16.90ms | New Size: 573x529 | EventX/Y: 1538/638
